codigo;familia;nombre;unidad;costo_unitario 
BC014;TUBERIAS;"BRIDA CIEGA, CLASS 150, ACERO AL CARBONO Ø 14"" (ASTM A-53)";UND;0
BSO120;TUBERIAS;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 1/2"" (ASTM A-53)";UND;0
BSO034;TUBERIAS;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 3/4"" (ASTM A-53)";UND;0
BSO112;TUBERIAS;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 1 1/2"" (ASTM A-53)";UND;0
BSO001;TUBERIAS;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 1"" (ASTM A-53)";UND;0
BSO002;TUBERIAS;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 2"" (ASTM A-53)";UND;0
BSO212;TUBERIAS;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 2 1/2"" (ASTM A-53)";UND;0
BSO003;TUBERIAS;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 3"" (ASTM A-53)";UND;0
BSO004;TUBERIAS;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 4"" (ASTM A-53)";UND;0
BSO006;TUBERIAS;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 6"" (ASTM A-53)";UND;0
BSO008;TUBERIAS;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 8"" (ASTM A-53)";UND;0
BSO010;TUBERIAS;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 10"" (ASTM A-53)";UND;0
BSO012;TUBERIAS;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 12"" (ASTM A-53)";UND;0
BSO014;TUBERIAS;"BRIDA SLIP-ON, CLASS 150, ACERO AL CARBONO Ø 14"" (ASTM A-53)";UND;0
BWN005;TUBERIAS;"BRIDA WELDING NECK, CLASS 150, ACERO AL CARBONO Ø 5"" (ASTM A-53)";UND;0
REC001X034;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 1""X3/4"" (ASTM A-53)";UND;0
REC112X112;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø1 1/2""X1/2"" (ASTM A-53)";UND;0
REC112X034;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 1 1/2""X3/4"" (ASTM A-53)";UND;0
REC112X001;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 1 1/2""X1"" (ASTM A-53)";UND;0
REC002X034;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 2""X3/4"" (ASTM A-53)";UND;0
REC002X001;TUBERIAS;"REDUCCION CONCENTRICA ACERO AL CARBONO, PARA SOLDAR. Ø 2""X1"" (ASTM A-53)";UND;0
